status,placement,415_mean,415_ptp,415_std,415_median,415_var,445_mean,445_ptp,445_std,445_median,445_var,480_mean,480_ptp,480_std,480_median,480_var,515_mean,515_ptp,515_std,515_median,515_var,555_mean,555_ptp,555_std,555_median,555_var,590_mean,590_ptp,590_std,590_median,590_var,630_mean,630_ptp,630_std,630_median,630_var,680_mean,680_ptp,680_std,680_median,680_var,910_mean,910_ptp,910_std,910_median,910_var
not_usable,inclined,1870.875,300,101.8983212,1910.0,10383.26786,7756.125,1308,446.2057301,7935.5,199099.5536,3490.25,564,193.134853,3571.0,37301.07143,10455.875,1787,607.8360769,10701.0,369464.6964,15988.25,1470,632.7136003,16025.5,400326.5,17646.375,1680,694.2200017,17674.0,481941.4107,15493.5,1580,616.4008436,15511.0,379950.0,8098.5,807,315.3814018,8109.5,99465.42857,2865.125,242,76.84945859,2865.0,5905.839286
not_usable,inclined,1838.5,181,54.05024118,1829.5,2921.428571,7599.375,755,223.7319426,7567.5,50055.98214,3421.25,323,94.88752741,3410.0,9003.642857,10199.75,1018,297.2405231,10162.0,88351.92857,15084.5,1018,313.5260299,15103.0,98298.57143,16739.75,1246,377.4738402,16752.5,142486.5,14803.75,1182,353.1647734,14815.0,124725.3571,7752.375,583,173.0631078,7753.5,29950.83929,2987.75,342,107.3735136,2950.5,11529.07143
not_usable,moving,1707.875,308,109.4681134,1712.0,11983.26786,7032.125,1332,467.6611831,7036.5,218706.9821,3192.75,560,197.757969,3183.5,39108.21429,9462.625,1748,620.6761146,9458.0,385238.8393,15853.125,17903,5964.218197,14019.5,35571898.7,17609.5,19400,6479.876233,15654.0,41988796.0,15598.875,16789,5631.225227,13930.0,31710697.55,8159.375,8451,2837.701431,7302.5,8052549.411,3060.125,1266,418.2782524,2909.5,174956.6964
not_usable,moving,2741.75,2260,748.6635235,2771.0,560497.0714,11552.25,9769,3229.930152,11696.0,10432448.79,5141.625,4240,1415.954392,5207.5,2004926.839,15321.5,12633,4207.115435,15544.5,17699820.29,26218.75,13219,4533.771112,26418.5,20555080.5,28916.375,14688,4931.152834,29085.5,24316268.27,25503.25,13119,4311.075562,25564.5,18585372.5,13140.375,6690,2198.535547,13166.0,4833558.554,3578.625,1415,491.4160116,3591.0,241489.6964
not_usable,moving,2746.25,3419,1031.778458,2789.0,1064566.786,11523.875,15123,4518.910534,11714.0,20420552.41,5139.625,6433,1941.596246,5212.0,3769795.982,15152.125,19472,5848.501797,15475.5,34204973.27,22109.625,18327,5908.611269,23150.0,34911687.13,24771.75,20390,6580.496459,25707.5,43302933.64,22010.5,17856,5792.761394,22665.0,33556084.57,11353.25,8812,2868.269849,11637.5,8226971.929,3449.0,1232,382.2321658,3489.0,146101.4286
not_usable,moving,2132.25,1476,568.2584296,2155.5,322917.6429,8885.875,6526,2510.542368,9011.0,6302822.982,3958.375,2750,1060.644809,3998.5,1124967.411,11758.375,8481,3274.121035,11931.5,10719868.55,19684.0,16111,5258.613451,20245.5,27653015.43,21697.125,17325,5672.046404,22209.0,32172110.41,18990.5,14908,4874.202733,19373.5,23757852.29,9816.875,7423,2428.538446,9988.0,5897798.982,3137.125,1263,439.931955,3080.0,193540.125
not_usable,moving,2671.875,2287,852.8185936,2569.5,727299.5536,11287.25,10019,3708.796599,10859.0,13755172.21,4974.375,4271,1585.79173,4806.0,2514735.411,14851.875,12870,4778.114704,14387.0,22830380.13,22294.125,15086,5434.950977,20642.0,29538692.13,24264.875,16160,5814.383211,22455.5,33807052.13,21015.25,13800,4965.697527,19431.0,24658151.93,10839.0,6896,2474.126108,10033.5,6121300.0,3414.0,1108,367.1041114,3474.0,134765.4286
not_usable,moving,1098.125,3370,1357.568461,429.5,1842992.125,3847.625,15066,6244.737623,572.5,38996747.98,1924.125,6390,2596.810705,624.0,6743425.839,5111.25,19620,8137.898513,870.0,66225392.21,9864.5,40599,16718.92163,1031.0,279522340.6,10906.625,43859,18027.43173,1432.5,324988294.8,10000.875,37144,15176.76337,2089.5,230334146.4,6217.125,17873,7100.970405,2732.5,50423780.7,5874.5,2513,812.1641284,6057.5,659610.5714
not_usable,moving,764.875,661,208.6435357,711.5,43532.125,2209.625,6220,2639.936901,852.5,6969266.839,1239.25,1570,539.9147419,1044.5,291507.9286,2053.875,3813,1478.983091,1369.5,2187390.982,1987.5,3404,1190.95268,1645.5,1418368.286,2124.125,2430,769.7428954,2286.5,592504.125,2514.125,2775,961.2149213,2946.0,923934.125,3038.0,4112,1833.525722,4145.0,3361816.571,6795.625,10091,4816.086524,9798.5,23194689.41
not_usable,inclined,2710.25,100,31.01957907,2707.5,962.2142857,11452.5,425,132.7650987,11432.5,17626.57143,5268.125,165,53.38388601,5252.0,2849.839286,15715.375,559,174.7348502,15689.0,30532.26786,22962.75,1038,334.5324029,22983.0,111911.9286,25564.375,1007,330.7143513,25599.5,109371.9821,22719.625,742,254.2793388,22763.5,64657.98214,11587.75,357,123.5322399,11609.0,15260.21429,3260.0,116,37.87573667,3265.0,1434.571429
not_usable,inclined,2795.75,139,46.83329097,2813.0,2193.357143,11827.625,603,203.4909177,11900.5,41408.55357,5421.375,245,81.88657225,5451.0,6705.410714,16191.5,781,262.0207189,16287.0,68654.85714,23685.125,1050,353.063506,23787.5,124653.8393,26269.0,1013,333.0276694,26355.0,110907.4286,23254.125,753,239.8222184,23304.5,57514.69643,11861.875,374,119.1091186,11888.5,14186.98214,3346.0,119,38.4781942,3356.0,1480.571429
usable,right,2837.875,35,12.0882174,2834.5,146.125,12026.75,169,56.77713322,12012.0,3223.642857,5490.75,62,20.72093489,5485.0,429.3571429,16407.75,185,61.61342618,16388.0,3796.214286,23984.0,303,107.150095,23941.5,11481.14286,26518.375,294,98.43480438,26485.0,9689.410714,23396.25,221,73.13539303,23382.0,5348.785714,11932.375,111,37.05184592,11924.5,1372.839286,3373.75,38,12.99175563,3368.5,168.7857143
