status,placement,415_mean,415_ptp,415_std,415_median,415_var,445_mean,445_ptp,445_std,445_median,445_var,480_mean,480_ptp,480_std,480_median,480_var,515_mean,515_ptp,515_std,515_median,515_var,555_mean,555_ptp,555_std,555_median,555_var,590_mean,590_ptp,590_std,590_median,590_var,630_mean,630_ptp,630_std,630_median,630_var,680_mean,680_ptp,680_std,680_median,680_var,910_mean,910_ptp,910_std,910_median,910_var
not_usable,moving,2052.875,1275,544.1736691,1888.0,296124.9821,8600.0,5477,2319.561227,7972.5,5380364.286,3784.5,2340,986.1709501,3516.5,972533.1429,11394.625,7140,3018.455799,10535.0,9111075.411,17971.125,9878,4277.885908,17617.5,18300307.84,20223.125,11030,4768.237693,19866.5,22736090.7,18328.875,9928,4280.46828,18056.5,18322408.7,9562.125,5063,2156.329715,9432.0,4649757.839,2815.875,963,441.9868898,2733.5,195352.4107
not_usable,inclined,2266.5,614,220.0831012,2246.0,48436.57143,9527.125,2558,923.2769957,9448.0,852440.4107,4204.25,1081,386.2840369,4160.5,149215.3571,12712.75,3297,1172.148424,12571.5,1373931.929,19273.5,4800,1719.591314,18592.0,2956994.286,21626.125,5412,1934.146873,20867.0,3740924.125,19513.875,4926,1760.123976,18841.0,3098036.411,10164.125,2510,890.0159609,9826.0,792128.4107,2904.875,586,204.4584747,2829.5,41803.26786
not_usable,moving,1940.75,574,220.7634481,1970.0,48736.5,8133.0,2460,948.6334532,8257.0,899905.4286,3622.25,1072,413.6543588,3677.0,171109.9286,10917.0,3269,1247.722497,11040.5,1556811.429,16142.5,5447,1971.623407,15741.0,3887298.857,18187.875,6108,2214.95214,17751.5,4906012.982,16507.75,5403,1964.962868,16129.5,3861079.071,8650.125,2781,1009.042748,8459.5,1018167.268,2595.75,583,199.5736527,2567.5,39829.64286
not_usable,moving,1715.0,571,261.1423622,1695.5,68195.33333,7145.25,2433,1109.849652,7066.0,1231766.25,3199.5,1061,484.8700857,3165.5,235099.0,9680.25,3238,1484.454417,9570.5,2203604.917,15222.5,3857,1705.916469,15788.5,2910151.0,17114.25,4320,1907.535124,17741.5,3638690.25,15481.75,3792,1668.244062,16018.5,2783038.25,8125.0,1976,868.7185966,8403.0,754672.0,2482.75,389,171.6476527,2539.0,29462.91667
not_usable,moving,2807.777778,2864,998.0000974,3145.0,996004.1944,11726.88889,12646,4414.347586,13331.0,19486464.61,5050.333333,5189,1774.01677,5663.0,3147135.5,15018.44444,15154,5241.396525,16879.0,27472237.53,21781.33333,28392,9678.700416,25320.0,93677241.75,24287.88889,31373,10648.45946,28079.0,113389688.9,22254.55556,28643,9651.515478,25529.0,93151751.03,11579.77778,14451,4853.766727,13190.0,23559051.44,3521.333333,2098,747.733074,3617.0,559104.75
not_usable,moving,3328.625,723,232.6818413,3359.0,54140.83929,14113.625,3058,1012.992023,14239.5,1026152.839,6042.75,1346,447.0969054,6106.0,199895.6429,17796.875,3882,1255.828632,17939.5,1577105.554,25090.5,4704,1463.173557,25478.0,2140876.857,28138.125,5356,1624.638548,28519.0,2639450.411,25939.75,4741,1425.18698,26117.0,2031157.929,13464.375,2553,765.2252586,13549.0,585569.6964,3746.875,770,284.5158482,3848.0,80949.26786
not_usable,moving,3137.625,552,192.6113314,3118.0,37099.125,13271.625,2366,827.1683086,13217.0,684207.4107,5633.75,1025,359.4733251,5618.5,129221.0714,16619.5,3063,1075.598571,16553.5,1156912.286,25510.5,4148,1329.365692,25340.0,1767213.143,28592.25,4235,1325.539863,28314.0,1757055.929,26330.625,3584,1138.439275,25890.5,1296043.982,13650.875,1763,573.0899798,13391.5,328432.125,3702.125,600,195.882937,3643.0,38370.125
not_usable,moving,3186.75,493,192.8046754,3256.5,37173.64286,13444.375,2072,816.6569375,13662.5,666928.5536,5708.25,875,327.4244733,5782.0,107206.7857,17011.875,2472,948.60084,17392.0,899843.5536,25453.75,3556,1363.875754,25583.5,1860157.071,28118.875,4795,1805.248811,28641.0,3258923.268,25520.875,5066,1891.2733,26130.5,3576914.696,13220.25,2612,972.8207514,13537.5,946380.2143,3645.125,750,269.5782089,3736.5,72672.41071
not_usable,moving,3090.625,1559,446.8016298,3140.0,199631.6964,12992.25,6898,1981.587801,13202.5,3926690.214,5590.625,2941,839.2241208,5672.0,704297.125,16830.5,8788,2504.280165,17125.5,6271419.143,25165.25,5869,1628.875839,25272.5,2653236.5,27620.125,6690,1854.124779,27819.5,3437778.696,24772.25,6249,1732.81569,25040.0,3002650.214,12890.0,3252,900.1858538,13031.5,810334.5714,3491.125,631,179.0438394,3472.5,32056.69643
not_usable,moving,2983.375,1082,306.2216459,2973.5,93771.69643,12589.75,4656,1315.815635,12574.0,1731370.786,5363.75,1968,559.5763066,5323.5,313125.6429,15875.25,5381,1577.740224,15674.0,2489264.214,20971.875,20332,5888.534027,21779.0,34674832.98,23359.25,22253,6417.899183,24179.5,41189429.93,21411.0,20123,5794.479984,22202.5,33575998.29,11131.5,10126,2921.764242,11529.0,8536706.286,3283.125,1211,360.4356243,3206.0,129913.8393
not_usable,moving,1038.5,3859,1518.372625,269.0,2305455.429,3900.125,17090,6828.78936,327.0,46632364.13,1821.75,7147,2805.089647,394.5,7868527.929,4897.75,21029,8402.507734,519.0,70602136.21,7949.625,29939,13583.12714,674.5,184501342.8,8972.875,33150,15102.86974,916.0,228096674.4,8452.75,30116,13579.91186,1281.5,184414006.2,5069.125,15332,6594.700804,1764.0,43490078.7,3488.875,3390,1034.732876,3689.0,1070672.125
not_usable,moving,378.875,935,290.4501125,314.0,84361.26786,1161.125,6326,2191.300295,357.5,4801796.982,605.25,1837,606.69285,435.0,368076.2143,1035.25,4121,1408.360825,572.0,1983480.214,1045.625,3392,1122.784414,697.0,1260644.839,1079.5,2274,715.619412,967.5,512111.1429,1241.5,1717,499.5292069,1331.5,249529.4286,1442.25,1649,596.2642631,1753.5,355531.0714,3176.875,4120,1763.921559,4123.0,3111419.268
not_usable,moving,2465.375,2567,858.3672104,2787.5,736794.2679,10163.125,10667,3544.784839,11491.0,12565499.55,4438.375,4698,1545.093704,4990.5,2387314.554,13106.875,13806,4549.788674,14761.5,20700576.98,21133.0,4411,1380.057038,21186.0,1904557.429,24741.125,5070,1546.681372,24759.5,2392223.268,23984.625,4844,1439.545458,23978.0,2072291.125,12598.25,2563,750.6883984,12566.5,563533.0714,3254.625,699,212.7916066,3233.5,45280.26786
usable,right,2785.25,61,20.39432694,2783.5,415.9285714,11595.75,246,78.1148422,11586.5,6101.928571,5044.0,95,30.71528238,5043.5,943.4285714,14959.625,313,97.5513601,14969.0,9516.267857,21654.75,375,135.4840528,21627.5,18355.92857,25080.125,373,143.4448002,25052.0,20576.41071,24095.625,686,199.1180106,24070.5,39647.98214,12642.0,333,96.95359715,12631.5,9400.0,3316.25,47,16.89251736,3314.5,285.3571429
usable,right,2781.625,23,8.798335882,2783.5,77.41071429,11599.5,96,37.45854852,11606.0,1403.142857,5056.125,46,17.53720535,5061.0,307.5535714,15011.625,129,51.31955211,15018.5,2633.696429,21856.625,262,83.54799733,21838.0,6980.267857,25165.25,247,75.22110266,25147.5,5658.214286,23990.5,175,55.07397622,23979.0,3033.142857,12598.375,88,27.3179036,12594.5,746.2678571,3326.125,31,9.613049167,3323.5,92.41071429
